course,institution,url,admission req,language req,deadline
Robotic Systems Engineering (RoboSys),RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4819/,"
","



","

"
Master of Science in Automotive Engineering,RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4599/,"









","


","


"
MSc Data Analytics and Decision Science (DDS),RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4874/,"

","

","
"
Biomedical Systems Engineering – Major of Electrical Engineering and Information Technology,RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5228/,"



","

",
Computer Science,Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10354/,"

","
","


"
Microelectronic Systems,Hamburg University of Applied Sciences • Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10418/,"




",,"




"
Software Systems Engineering,RWTH Aachen University • Aachen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3696/,"

",,"

"
Linguistics (MA),University of Göttingen • Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7643/,,,
Ecosystem Services,Dresden University of Technology • Zittau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4802/,,,
Modern Indian Studies,University of Göttingen • Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4150/,"


","

","
"
Technomathematics,Dresden University of Technology • Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8913/,,,"
"
